folder,category,v,t,lm,gap,chern,z2,wilson
v_0p60_t_0p90_lm_0p80,robust_topological,0.60,0.90,0.80,2.00000000e-01,9.16608159e-17,1,2.62592707
v_0p60_t_0p80_lm_0p70,robust_topological,0.60,0.80,0.70,2.00000000e-01,-3.19715255e-16,1,0.66100459
v_1p00_t_0p90_lm_1p00,robust_topological,1.00,0.90,1.00,2.00000000e-01,-5.71085832e-20,1,0.82282490
v_0p50_t_0p80_lm_0p60,robust_topological,0.50,0.80,0.60,2.00000000e-01,-1.30603171e-16,1,-0.53765345
v_0p30_t_0p60_lm_0p80,robust_topological,0.30,0.60,0.80,2.00000000e-01,2.26311951e-16,1,0.57453538
v_0p90_t_1p00_lm_1p00,robust_topological,0.90,1.00,1.00,2.00000000e-01,1.87990030e-16,1,-0.60504115
v_0p70_t_1p00_lm_0p60,robust_topological,0.70,1.00,0.60,2.00000000e-01,2.66486948e-16,1,0.95869244
v_0p60_t_0p70_lm_0p80,robust_topological,0.60,0.70,0.80,2.00000000e-01,-1.08561236e-16,1,-2.59344268
v_0p60_t_1p00_lm_0p50,robust_topological,0.60,1.00,0.50,2.00000000e-01,-3.30170823e-16,1,0.51124587
v_0p30_t_0p50_lm_0p70,robust_topological,0.30,0.50,0.70,2.00000000e-01,-4.74876457e-16,1,-1.00457045
v_0p50_t_0p90_lm_0p50,robust_topological,0.50,0.90,0.50,2.00000000e-01,1.04814375e-16,1,0.57949192
v_0p70_t_0p80_lm_0p80,robust_topological,0.70,0.80,0.80,2.00000000e-01,-3.09293304e-18,1,0.78479815
v_0p80_t_0p90_lm_0p80,robust_topological,0.80,0.90,0.80,2.00000000e-01,-1.27000032e-16,1,0.55343514
v_0p50_t_0p90_lm_0p70,robust_topological,0.50,0.90,0.70,2.00000000e-01,2.00403261e-16,1,0.82490288
v_0p50_t_0p60_lm_0p90,near_transition,0.50,0.60,0.90,0.00000000e+00,7.06789929e-17,1,-1.09324045
v_0p70_t_0p70_lm_1p00,near_transition,0.70,0.70,1.00,0.00000000e+00,5.30092447e-16,0,-0.25433305
v_0p50_t_0p20_lm_0p30,near_transition,0.50,0.20,0.30,2.77555756e-17,-1.10607802e-16,1,0.55203270
v_0p50_t_0p50_lm_1p00,near_transition,0.50,0.50,1.00,5.55111512e-17,2.12036979e-16,1,-1.05834024
v_0p50_t_1p00_lm_0p50,near_transition,0.50,1.00,0.50,-5.55111512e-17,3.53394965e-16,1,-0.60472926
v_0p70_t_0p10_lm_0p20,near_transition,0.70,0.10,0.20,5.55111512e-17,-5.13366447e-17,0,-0.04885825
v_0p70_t_1p00_lm_0p70,near_transition,0.70,1.00,0.70,-5.55111512e-17,4.24073958e-16,1,-0.53688374
v_0p60_t_0p80_lm_0p80,near_transition,0.60,0.80,0.80,-6.22088784e-17,-1.00000000e+00,0,0.45801967
v_0p50_t_0p70_lm_0p80,near_transition,0.50,0.70,0.80,6.93889390e-17,-1.94367231e-16,0,0.48229924
v_0p90_t_1p00_lm_0p90,near_transition,0.90,1.00,0.90,-6.93889390e-17,-2.82715972e-16,0,-0.24985597
v_0p30_t_0p30_lm_0p40,near_transition,0.30,0.30,0.40,8.32667268e-17,-2.64611165e-16,1,0.98450202
v_0p40_t_0p60_lm_0p80,near_transition,0.40,0.60,0.80,8.32667268e-17,-7.06789929e-17,0,0.00813441
v_0p50_t_0p80_lm_0p70,near_transition,0.50,0.80,0.70,-9.71445147e-17,2.29706727e-16,0,-0.23214187
v_0p20_t_0p60_lm_0p60,near_transition,0.20,0.60,0.60,-1.05016274e-16,1.59027734e-16,1,0.79994871
v_0p30_t_0p10_lm_0p50,near_transition,0.30,0.10,0.50,-1.11022302e-16,1.64318017e-16,0,-0.23749031
v_0p40_t_0p20_lm_0p40,near_transition,0.40,0.20,0.40,1.11022302e-16,2.40644939e-16,0,-0.25623933
v_0p40_t_0p40_lm_0p20,near_transition,0.40,0.40,0.20,1.11022302e-16,1.26113118e-16,0,0.35447732
v_0p50_t_0p40_lm_0p10,near_transition,0.50,0.40,0.10,1.11022302e-16,1.33826466e-16,1,-0.75572674
v_0p60_t_0p10_lm_0p30,near_transition,0.60,0.10,0.30,1.11022302e-16,-1.94866298e-16,1,-1.03246283
v_0p60_t_0p20_lm_0p20,near_transition,0.60,0.20,0.20,1.16707185e-16,1.09744905e-18,0,-0.37330678
